description_length,type,priority,estimated_days,story_points,num_comments,avg_comment_length,sprint_days_given,is_problematic
126,Story,Minor,0,8,,,61,1
509,Bug,Major,0,3,1,347.0000,5,1
154,Story,Minor,0,1,,,19,1
787,Story,Major,0,8,,,32,1
216,Story,Minor,0,8,2,112.0000,53,1
141,Story,Minor,0,8,,,35,1
142,Story,Minor,0,3,,,95,1
184,Story,Minor,0,1,2,329.5000,35,1
153,Story,Minor,0,5,,,8,1
191,Story,Minor,0,3,,,23,1
288,Story,Minor,0,2,,,10,1
127,Improvement,Minor,0,2,1,116.0000,29,1
7818,Bug,Major,0,3,,,15,1
341,Technical task,Major,0,5,7,247.0000,30,1
123,Story,Minor,0,5,1,70.0000,30,1
102,Story,Minor,0,5,,,30,1
77,Bug,Blocker,0,1,2,75.5000,17,1
140,Story,Minor,0,1,,,62,1
945,Story,Major,0,0,2,195.0000,17,1
108,Bug,Minor,0,3,,,45,1
321,Bug,Minor,0,3,2,114.5000,18,1
142,Story,Minor,0,3,4,153.0000,179,1
192,Story,Minor,0,1,,,32,1
507,Improvement,Minor,0,2,1,27.0000,45,1
175,Story,Minor,0,5,,,149,1
182,Story,Minor,0,8,2,80.5000,19,1
189,Story,Minor,0,8,1,90.0000,19,1
11961,Bug,Major,0,0,4,278.7500,19,1
146,Story,Minor,0,8,3,289.0000,19,1
0,Story,Minor,0,5,1,8.0000,19,1
169,Story,Major,0,5,,,19,1
193,Story,Minor,0,2,,,21,1
1573,Story,Minor,0,1,2,184.5000,36,1
121,Story,Minor,0,1,,,22,1
172,Story,Minor,0,1,,,22,1
224,Story,Minor,0,3,,,49,1
207,Story,Minor,0,3,1,252.0000,23,1
124,Story,Major,0,5,12,242.9167,37,1
125,Story,Minor,0,2,,,68,1
118,Story,Minor,0,3,,,24,1
267,Story,Minor,0,3,,,24,1
131,Technical task,Minor,0,8,1,19.0000,51,1
175,Story,Minor,0,3,,,25,1
203,Story,Minor,0,1,,,70,1
0,Story,Minor,0,3,,,4,1
226,Story,Minor,0,3,,,215,1
175,Story,Minor,0,5,,,26,1
205,Improvement,Minor,0,8,1,22.0000,29,1
624,Improvement,Minor,0,1,1,105.0000,336,1
4185,Bug,Critical,0,3,3,159.6667,57,1
1770,Bug,Critical,0,3,4,159.0000,44,1
299,Story,Minor,0,1,4,242.7500,9,1
1090,Story,Minor,0,5,,,9,1
2343,Bug,Minor,0,2,,,10,1
217,Story,Minor,0,2,,,10,1
130,Improvement,Minor,0,2,,,11,1
680,Story,Minor,0,5,2,97.5000,11,1
1631,Improvement,Major,0,2,1,172.0000,32,1
2865,Bug,Major,0,5,4,346.0000,12,1
3024,Bug,Minor,0,1,1,149.0000,12,1
132,Story,Minor,0,5,,,33,1
277,Story,Minor,0,5,,,60,1
238,Technical task,Minor,0,3,2,103.0000,12,1
91,Story,Minor,0,5,,,35,1
154,Story,Minor,0,8,2,147.5000,14,1
152,Bug,Minor,0,2,,,15,1
156,Story,Minor,0,2,,,36,1
12889,Bug,Blocker,0,3,,,15,1
235,Story,Minor,0,2,4,165.7500,138,1
0,Story,Minor,0,1,,,15,1
569,Story,Minor,0,5,,,2,1
85,Story,Minor,0,2,1,221.0000,17,1
299,Story,Minor,0,1,2,521.0000,17,1
501,Bug,Minor,0,1,,,4,1
60,Story,Minor,0,1,1,84.0000,66,1
781,Story,Minor,0,1,,,126,1
199,Story,Minor,0,2,,,5,1
10768,Technical task,Critical,0,2,1,99.0000,5,1
306,Technical task,Minor,0,1,2,202.5000,5,1
2381,Bug,Major,0,3,6,652.6667,70,1
156,Story,Minor,0,2,2,73.5000,44,1
444,Story,Minor,0,3,9,871.8889,44,1
459,Story,Minor,0,3,,,10,1
4564,Bug,Critical,0,3,2,296.5000,11,1
1450,Bug,Major,0,1,1,39.0000,11,1
36,Story,Minor,0,3,1,87.0000,26,1
0,Technical task,Minor,0,2,,,26,1
0,Technical task,Minor,0,5,,,26,1
0,Technical task,Critical,0,1,,,27,1
155,Story,Minor,0,5,2,222.0000,14,1
129,Story,Minor,0,8,1,68.0000,63,1
175,Improvement,Minor,0,5,8,146.1250,14,1
156,Story,Minor,0,8,,,29,1
277,Story,Minor,0,1,,,64,1
104,Story,Minor,0,3,,,16,1
124,Story,Minor,0,3,,,2,1
112,Story,Minor,0,2,,,2,1
133,Story,Minor,0,3,1,29.0000,2,1
131,Story,Minor,0,3,,,2,1
260,Bug,Minor,0,3,1,38.0000,17,1
357,Story,Minor,0,1,1,417.0000,3,1
0,Story,Minor,0,1,,,31,1
408,Story,Minor,0,8,,,17,1
98,Technical task,Minor,0,1,,,53,1
14281,Bug,Critical,0,5,1,21.0000,18,1
721,Bug,Major,0,2,4,186.0000,32,1
871,Bug,Major,0,1,6,261.8333,54,1
505,Bug,Minor,0,1,1,84.0000,19,1
213,Story,Minor,0,8,,,19,1
98,Bug,Minor,0,1,,,9,1
2274,Technical task,Minor,0,3,2,156.5000,9,1
309,Story,Minor,0,2,3,134.3333,9,1
530,Story,Critical,0,5,,,23,1
388,Bug,Minor,0,1,,,10,1
215,Technical task,Minor,0,3,3,245.6667,24,1
920,Bug,Minor,0,5,12,283.7500,73,1
1456,Bug,Major,0,5,1,183.0000,11,1
418,Bug,Major,0,8,4,311.2500,60,1
0,Story,Minor,0,8,,,12,1
0,Story,Minor,0,8,1,501.0000,12,1
515,Story,Minor,0,3,,,40,1
122,Story,Minor,0,8,,,12,1
0,Story,Minor,0,8,,,14,1
64,Story,Minor,0,5,1,17.0000,14,1
272,Story,Minor,0,8,1,280.0000,42,1
286,Story,Minor,0,1,2,133.5000,15,1
0,Story,Minor,0,3,,,15,1
228,Improvement,Minor,0,1,,,3,1
208,Story,Minor,0,8,1,55.0000,17,1
1088,Bug,Blocker,0,3,1,812.0000,17,1
135,Story,Minor,0,3,3,236.0000,18,1
4839,Bug,Minor,0,3,,,4,1
370,Bug,Minor,0,3,,,5,1
141,Story,Minor,0,3,,,22,1
371,Story,Minor,0,1,1,110.0000,117,1
98,Story,Minor,0,8,,,24,1
145,Story,Minor,0,8,,,24,1
596,Story,Minor,0,2,1,56.0000,24,1
108,Technical task,Minor,0,3,1,17.0000,24,1
289,Bug,Major,0,1,,,11,1
358,Story,Minor,0,1,,,26,1
168,Story,Minor,0,8,,,40,1
92,Story,Minor,0,2,,,1,1
139,Story,Minor,0,3,,,1,1
128,Story,Minor,0,2,,,1,1
225,Technical task,Minor,0,5,,,2,1
134,Story,Major,0,1,,,2,1
341,Story,Minor,0,5,,,106,1
64,Story,Minor,0,1,,,2,1
319,Technical task,Blocker,0,3,,,3,1
359,Technical task,Blocker,0,1,,,3,1
0,Story,Minor,0,1,,,3,1
257,Story,Minor,0,1,,,3,1
181,Story,Major,0,1,1,144.0000,3,1
216,Bug,Minor,0,5,,,4,1
647,Story,Minor,0,1,2,63.0000,5,1
0,Technical task,Major,0,3,,,5,1
0,Technical task,Minor,0,5,,,5,1
210,Technical task,Critical,0,1,1,59.0000,5,1
253,Story,Critical,0,8,1,28.0000,5,1
2893,Bug,Major,0,3,4,228.0000,5,1
123,Improvement,Minor,0,1,,,5,1
123,Technical task,Minor,0,2,,,5,1
104,Story,Minor,0,8,1,94.0000,8,1
16,Story,Minor,0,1,1,94.0000,8,1
102,Story,Minor,0,1,,,9,1
199,Story,Minor,0,5,,,9,1
120,Story,Minor,0,1,1,50.0000,9,1
181,Story,Minor,0,8,1,139.0000,37,1
124,Story,Minor,0,5,3,77.6667,11,1
124,Improvement,Minor,0,1,1,112.0000,2,1
109,Story,Minor,0,1,,,11,1
186,Story,Minor,0,2,,,25,1
222,Story,Major,0,5,3,214.0000,39,1
0,Story,Minor,0,2,,,3,1
377,Bug,Minor,0,1,1,60.0000,3,1
3978,Bug,Minor,0,1,2,76.5000,3,1
0,Story,Major,0,3,,,6,1
269,Bug,Blocker,0,1,1,59.0000,6,1
136,Story,Minor,0,1,,,7,1
636,Story,Minor,0,1,,,7,1
0,Story,Minor,0,1,1,71.0000,8,1
157,Story,Major,0,5,,,139,1
370,Story,Major,0,5,3,529.0000,17,1
349,Improvement,Minor,0,1,2,70.0000,18,1
465,Improvement,Minor,0,2,,,9,1
0,Story,Minor,0,3,,,9,1
0,Story,Minor,0,1,,,9,1
0,Story,Major,0,3,2,371.5000,9,1
65,Story,Minor,0,1,1,94.0000,10,1
119,Bug,Minor,0,1,,,10,1
2184,Bug,Major,0,1,3,61.3333,12,1
8626,Bug,Major,0,3,1,60.0000,12,1
815,Bug,Minor,0,1,1,134.0000,21,1
155,Story,Minor,0,3,2,110.5000,13,1
55,Story,Minor,0,1,1,94.0000,14,1
495,Improvement,Minor,0,2,1,25.0000,51,1
369,Story,Major,0,5,1,60.0000,15,1
137,Story,Minor,0,8,1,94.0000,24,1
296,Story,Minor,0,3,1,61.0000,15,1
0,Story,Minor,0,1,,,16,1
415,Story,Minor,0,3,,,17,1
120,Story,Minor,0,2,,,17,1
52,Story,Minor,0,3,1,69.0000,26,1
0,Technical task,Minor,0,1,,,54,1
1899,Bug,Critical,0,2,6,432.8333,28,1
356,Improvement,Major,0,5,7,320.7143,133,1
1093,Improvement,Critical,0,5,1,480.0000,20,1
3218,Bug,Major,0,5,13,407.6923,30,1
44,Story,Minor,0,1,1,60.0000,21,1
134,Technical task,Minor,0,1,1,181.0000,59,1
249,Story,Minor,0,2,,,22,1
0,Story,Minor,0,3,,,22,1
437,Bug,Minor,0,1,1,94.0000,22,1
158,Story,Minor,0,8,1,56.0000,22,1
399,Improvement,Minor,0,2,4,232.0000,23,1
368,Bug,Minor,0,1,1,61.0000,23,1
194,Story,Minor,0,3,3,81.6667,23,1
1236,Bug,Minor,0,1,4,160.0000,33,1
117,Story,Minor,0,5,6,263.6667,61,1
0,Story,Minor,0,1,,,24,1
120,Technical task,Minor,0,1,,,24,1
254,Story,Minor,0,8,4,453.7500,155,1
771,Story,Minor,0,3,,,24,1
0,Story,Minor,0,2,1,101.0000,24,1
110,Story,Minor,0,5,,,61,1
87,Story,Minor,0,8,,,25,1
124,Story,Minor,0,1,1,157.0000,25,1
0,Story,Minor,0,1,,,1,1
185,Bug,Major,0,5,5,221.0000,41,1
165,Technical task,Minor,0,1,,,4,1
575,Improvement,Minor,0,1,,,51,1
353,Story,Minor,0,3,,,43,1
592,Story,Minor,0,2,1,60.0000,7,1
642,Bug,Blocker,0,3,,,7,1
12439,Bug,Minor,0,1,,,8,1
4870,Bug,Minor,0,2,,,8,1
113,Story,Minor,0,3,2,77.0000,45,1
400,Bug,Major,0,3,3,646.0000,306,1
206,Story,Minor,0,5,,,8,1
17033,Bug,Blocker,0,3,1,82.0000,10,1
155,Story,Minor,0,2,,,11,1
1919,Story,Minor,0,5,,,11,1
298,Story,Minor,0,1,1,55.0000,57,1
53,Story,Minor,0,1,,,12,1
381,Improvement,Minor,0,2,2,368.5000,51,1
216,Story,Minor,0,2,,,14,1
147,Story,Minor,0,3,,,14,1
130,Story,Minor,0,5,,,14,1
241,Bug,Minor,0,8,4,608.7500,102,1
0,Story,Minor,0,1,1,61.0000,14,1
0,Story,Minor,0,1,1,60.0000,14,1
164,Story,Minor,0,1,1,59.0000,14,1
773,Improvement,Major,0,1,1,94.0000,51,1
246,Story,Major,0,2,2,67.5000,15,1
120,Story,Minor,0,5,1,658.0000,75,1
116,Story,Minor,0,5,,,152,1
132,Story,Minor,0,8,1,60.0000,52,1
130,Story,Minor,0,8,,,15,1
128,Story,Minor,0,3,2,83.0000,15,1
160,Improvement,Minor,0,0,,,15,1
319,Story,Minor,0,3,2,83.0000,15,1
310,Story,Minor,0,8,1,94.0000,52,1
0,Story,Minor,0,5,1,94.0000,52,1
152,Story,Minor,0,5,1,187.0000,16,1
0,Technical task,Minor,0,3,2,22.5000,90,1
